clave_scian,nombre_clase_scian,rama_cod,rama_nombre,subsector_cod,subsector_nombre,categoria_directorio
311811,Panificación industrial,3118,Elaboración de productos de panadería y tortillas,311,Industria alimentaria,
311812,Panificación tradicional,3118,Elaboración de productos de panadería y tortillas,311,Industria alimentaria,panaderia
311813,Elaboración de tortillas de harina de trigo de forma tradicional,3118,Elaboración de productos de panadería y tortillas,311,Industria alimentaria,
311820,Elaboración de galletas y pastas para sopa,3118,Elaboración de productos de panadería y tortillas,311,Industria alimentaria,
311830,Elaboración de tortillas de maíz y molienda de nixtamal,3118,Elaboración de productos de panadería y tortillas,311,Industria alimentaria,
461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461121,Comercio al por menor de carnes rojas,4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461122,Comercio al por menor de carne de aves,4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461123,Comercio al por menor de pescados y mariscos,4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461130,Comercio al por menor de frutas y verduras frescas,4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461140,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos",4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461150,"Comercio al por menor de leche, otros productos lácteos y embutidos",4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461160,Comercio al por menor de dulces y materias primas para repostería,4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461170,Comercio al por menor de paletas de hielo y helados,4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461190,Comercio al por menor de otros alimentos,4611,Comercio al por menor de abarrotes y alimentos,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461211,Comercio al por menor de vinos y licores,4612,"Comercio al por menor de bebidas, hielo y tabaco",461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461212,Comercio al por menor de cerveza,4612,"Comercio al por menor de bebidas, hielo y tabaco",461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461213,Comercio al por menor de bebidas no alcohólicas y hielo,4612,"Comercio al por menor de bebidas, hielo y tabaco",461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
461220,"Comercio al por menor de cigarros, puros y tabaco",4612,"Comercio al por menor de bebidas, hielo y tabaco",461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",
462111,Comercio al por menor en supermercados,4621,Comercio al por menor en tiendas de autoservicio,462,Comercio al por menor en tiendas de autoservicio y departamentales,
462112,Comercio al por menor en minisupers,4621,Comercio al por menor en tiendas de autoservicio,462,Comercio al por menor en tiendas de autoservicio y departamentales,
462210,Comercio al por menor en tiendas departamentales,4622,Comercio al por menor en tiendas departamentales,462,Comercio al por menor en tiendas de autoservicio y departamentales,
463111,Comercio al por menor de telas,4631,"Comercio al por menor de productos textiles, excepto ropa",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463112,Comercio al por menor de blancos,4631,"Comercio al por menor de productos textiles, excepto ropa",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463113,Comercio al por menor de artículos de mercería y bonetería,4631,"Comercio al por menor de productos textiles, excepto ropa",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463211,"Comercio al por menor de ropa, excepto de bebé y lencería",4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",tienda_ropa
463212,Comercio al por menor de ropa de bebé,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",tienda_ropa
463213,Comercio al por menor de lencería,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463214,"Comercio al por menor de disfraces, trajes típicos y vestidos de novia",4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463215,Comercio al por menor de bisutería y accesorios de vestir,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463216,Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",tienda_ropa
463217,Comercio al por menor de pañales desechables,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463218,Comercio al por menor de sombreros,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
463310,Comercio al por menor de calzado,4633,Comercio al por menor de calzado,463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",
464111,Farmacias sin minisúper,4641,Comercio al por menor de artículos para el cuidado de la salud,464,Comercio al por menor de artículos para el cuidado de la salud,farmacia
464112,Farmacias con minisúper,4641,Comercio al por menor de artículos para el cuidado de la salud,464,Comercio al por menor de artículos para el cuidado de la salud,farmacia
464113,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios",4641,Comercio al por menor de artículos para el cuidado de la salud,464,Comercio al por menor de artículos para el cuidado de la salud,
464121,Comercio al por menor de lentes,4641,Comercio al por menor de artículos para el cuidado de la salud,464,Comercio al por menor de artículos para el cuidado de la salud,
